row_id,english_question,bangla_question
17,"In the figure, AB is parallel to CD, AD is parallel to BC, and E is a point on the extension of AB. The line segment DE intersects BC at point F. Provide one condition that makes triangle BEF congruent to triangle CDF.",
18,"A semicircular steel plate with radius 2a (a > 0) is cut into an isosceles trapezoid ABCD, where AB is the diameter and CD lies on the arc. Let AD = x. Given that CD ≥ (7/2)a, find the maximum possible perimeter y of trapezoid ABCD.",
19,"In the figure, it is known that \(AB=12\), \(AB\perp BC\) at point \(B\), \(AB\perp AD\) at point \(A\), \(AD=5\), and \(BC=10\). Point \(E\) is the midpoint of \(CD\). Find the length of \(AE\).",
20,"In the isosceles trapezoid ABCD, where AD is parallel to BC, the diagonals AC and BD intersect at point O. The following four conclusions are given: ① ∠ABC = ∠DCB, ② OA = OD, ③ ∠BCD = ∠BDC, ④ S<sub>△AOB</sub> = S<sub>△DOC</sub>. Which of the following conclusions is correct? ( )
A. ①②
B. ①④
C. ②③④
D. ①②④",
21,"As shown in the figure, when adding an outer frame of the same width to the rectangle, acute triangle, regular pentagon, and right triangle, ensuring that the edges of the outer frame are parallel to the corresponding edges of the original shape, how many of these shapes have an outer frame that is similar to the original shape?",
23,"In the figure, triangle $ABC$ is an equilateral triangle, $AA' \parallel BB' \parallel CC'$, $CC' \perp$ plane $ABC$ and $3AA' = \frac{3}{2} BB' = CC' = AB$. What is the front view (also known as the main view) of the polyhedron $ABC - A'B'C'$?",
26,"In the figure, the sector $OAB$ is the lateral surface development of a cone. If the side length of the small square grid is 1 cm, then the radius of the base of this cone is ( )
A. \( \frac{\sqrt{2}}{4} \) cm
B. \( \sqrt{2} \) cm
C. \( \frac{\sqrt{2}}{2} \) cm
D. \( \frac{1}{2} \) cm",
27,The three views of a geometric body are shown in the figure. What is the lateral surface area of this geometric body (unit: cm²)?,
28,"There is a building AB on the opposite bank of the river, and the base of the building is unreachable. Using a protractor and a meter stick, the following measurement scheme is designed: Select two measurement points C and D that are on the same horizontal plane as the base B of the building. The distance CD is measured as \( a \), and the angles of elevation to the top of the tower A from points C and D are \( \alpha \) and \( \beta \) respectively, with \( \angle CBD = \gamma \). Find the height of the building AB.",
32,"In the figure, PC is the tangent to circle O, C is the point of tangency, PAB is the secant line, PC = 2, PA = 1, and ∠P = 60°. What is BC?
A. 3
B. 2
C. 3 2
D. 2 3",
33,"In the cube $ABCD$—$A'B'C'D'$ with a side length of 4, points $E$ and $F$ are the midpoints of edges $AD$ and $A'D'$ respectively. A line segment $MN$ of length 2 has one endpoint $M$ moving along segment $EF$, while the other endpoint $N$ moves on the bottom face $A'B'C'D'$. What is the volume of the geometric body formed by the dihedral angle $A$-$A'D'$-$B'$ and the trajectory (surface) of the midpoint $P$ of segment $MN$?",
34,"In triangle AOB, OA=OB=8, ∠AOB=90°, the vertices C, D, and F of rectangle CDEF are on sides AO, OB, and AB respectively. If \( \tan \angle CDO = \frac{4}{3} \), what is the maximum area \( s \) of rectangle CDEF?",
35,The three views of a certain geometric body are shown in the figure (where the arc in the side view is a semicircle). What is the volume of this geometric body?,
37,"Based on the front view shown in the image, determine how many small cubes are used to construct the 3D geometric figure.",
38,"In the figure, in rectangle ABCD, AB=2, BC=4, and the radius of circle D is 1. Now, a right triangle's right angle vertex coincides with the center O of the rectangle, and the triangle is rotated around point O so that one of its right angle sides is tangent to circle D at point H. At this time, the two right angle sides intersect AD at points E and F. What is the value of \( \tan \angle EFO \)?",
39,"In the figure, how many edges are there that are perpendicular to edge AB and lie in the same plane as AB in the cube?
A. 1
B. 2
C. 3
D. 4",
40,"In the figure, the rectangular paper \(ABCD\) is folded such that points \(B\) and \(C\) coincide exactly at point \(P\) on side \(AD\). It is known that \(∠MPN=90^{\circ}\), \(PM=3\), and \(PN=4\). What is the area of the rectangular paper \(ABCD\)?",
41,"In the figure, shapes A, B, C, D, and E are all squares, and shapes M and N are right triangles. The areas of squares A, B, and C are 4.1, 2.9, and 2 respectively. What is the area of square D?",
43,"In the figure, the given conditions are: ①∠C=∠ABE, ②∠C=∠DBE, ③∠A=∠ABE, ④∠CBE+∠C=180°. Which conditions can determine that BE is parallel to AC?
A. ①②③
B. ①②④
C. ①③④
D. ②③④",
44,"In the figure, a certain place responds to the city government's call that ""image is more important than life"" by hanging a 30-meter long promotional banner from point A to point E on building A. At the top point D of building B, the angle of elevation to the top point A of the banner is 40°, and the angle of depression to the bottom point E of the banner is 26°. Find the horizontal distance BC between buildings A and B (accurate to 0.1 meters).",
45,"The image shows a rectangular strip folded. If ∠1 = 130°, then ∠2 = °.",
46,"As shown in the figure, triangle ABC is rotated counterclockwise around point A by 40°, resulting in triangle AB'C'. Line AB' passes through point C. What is the measure of angle ∠BAC' in degrees?",
47,"The figure shows a machine part, please calculate its volume. (Unit: cm)",
48,"In the figure, \(∠A=120^{\circ}\), \(∠B=60^{\circ}\), \(∠EDA=55^{\circ}\), then \(∠F= \)______ degrees.",
49,"In the figure, AB is the diameter of circle O, points D and C are on circle O, AD is parallel to OC, and ∠DAB = 60°. If we connect AC, what is the measure of ∠DAC?
A. 15°
B. 30°
C. 45°
D. 60°",
51,"In the problem from Yantai, Shandong in 2011, three squares with side lengths of 2 overlap each other. The centers of two of the squares are denoted as $O_1$ and $O_2$. What is the area of the shaded region?",
52,"A cube is unfolded as shown in the figure. The following conclusions are made about the original cube: The correct conclusion numbers are ______. (List all the figures that meet the requirements) 
① AB ⊥ EF; 
② The angle between AB and CM is 60°; 
③ EF and MN are skew lines; 
④ MN ∥ CD.",
53,"As shown in the figure, the rectangular prism has a length of 3, a width of 2, and a height of 4. The distance from point B to point C is 1. If an ant wants to crawl along the surface of the rectangular prism from point A to point B, what is the shortest distance it needs to crawl?",
55,"In the figure, it is known that △ABC is congruent to △DEB. Point E is on line segment AB, and line segment DE intersects AC at point F. Given that ∠D=35° and ∠C=60°, find the degree measure of ∠AFD.",
56,"Given the parabola passes through points A(2,0) and B(t,0) (t≥2), intersects the y-axis at point C, and the line l: y=x+2t passes through C and intersects the x-axis at D. Let F be the foot of the perpendicular from C to line AE, where AE is such that ∠CAE = ∠CDO. If S_{△COD} - S_{四边形COAF} = 7, find the equation of the parabola.",
58,"In the figure, ∠BDC=90°, point A is on segment DC, which line segment represents the distance from point B to line AC? ( )
Segment DA
Segment BA
Segment DC
Segment BD",
59,"A geometric body composed of a hemisphere and a square pyramid, its three views are shown in the figure. The volume of this geometric body is ______.",
60,"If the three views of a geometric body (unit: cm) are as shown in the figure, then the lateral surface area of this geometric body is equal to cm².",
61,"In the figure (2012 Nanjing School Level Second Mock Exam), what is the measure of angle ∠α in the regular hexagon?",
62,"In parallelogram $ABCD$, $AH \perp BC$ at point $H$, $AD=4\sqrt{5}$, $AB=5$, and $AH=\sqrt{5}$. Points $E$ and $F$ start from $A$ along ray $AC$ at speeds 1 and 3 units per second respectively. An isosceles right triangle $\triangle EFG$ is constructed with base $EF$, on the same side of $AC$ as $\triangle ACD$. When $E$ reaches $C$, they stop. Let $t$ be time in seconds. Given $AC=5$ and $\tan \angle GAE = \frac{1}{2}$, find the functional relationship between the area $S$ of the overlapping region of $\triangle EFG$ and $\triangle ACD$ and the range of $t$.",
63,"In the figure, line $l_1$ is parallel to line $l_2$, and line $l_3$ is perpendicular to line $l_4$. There are three conclusions: ① $\angle 1 + \angle 3 = 90^\circ$; ② $\angle 2 + \angle 3 = 90^\circ$; ③ $\angle 2 = \angle 4$. Which of the following statements is correct ( )
A. Only ① is correct
B. Only ② is correct
C. Both ① and ③ are correct
D. All ①, ②, and ③ are correct",
66,"In the figure, the area of the shaded part occupies ( ) of the area of triangle ABC.
A. 1/6
B. 2/9
C. 1/7
D. Cannot determine",
67,"In the figure, a small hole P is opened on one side BC of a black box, which has two sides AD and DC as plane mirrors. When an observer walks outside parallel to BC, how many times can they see the light emitted from the light source S through the small hole P?
A. 1 time
B. 2 times
C. 3 times
D. 4 times",
69,"In the figure, PA, PB, and CD are tangent to circle O at points A, B, and E respectively. CD intersects PA and PB at points C and D. If ∠P = 40°, what is the degree measure of ∠PAE + ∠PBE? ( )
A. 50°
B. 62°
C. 66°
D. 70°",
70,There is a polyhedral ornament whose surface consists of 6 squares and 8 equilateral triangles (as shown in the image). The angle formed by AB and CD is _____________,
71,"In triangle ABC, where AC is perpendicular to BC and CD is perpendicular to AB, how many segments in the figure can represent the distance from a point to a line (or line segment)?
A. 2 segments
B. 3 segments
C. 4 segments
D. 5 segments",
75,"Xiao Ming's family wants to make an arched glass door at the corner of the bathroom (the angle between the two walls is 90°, as shown in the figure). How many square meters of glass are needed at a minimum for this arched door?",
76,"As shown in the figure, the plane figure consists of a square with a side length of 6 and four triangles. The side lengths of the upper and lower triangles are 6, 8, and 10 respectively. Now, folding this plane figure along the four edges of the square forms a quadrilateral pyramid. What is the volume of this quadrilateral pyramid?",
77,"In the figure, the 'big' character pattern composed of 19 hearts does not include the transformation ( )
A. Similar figures
B. Rotation
C. Translation
D. Axis symmetry",
80,"Starting from the Green Garden Community, how many stops will it take to get to school?",
81,"The eye chart is not unfamiliar to us. As shown, the transformation between the two 'E's that open upwards is ( )
A. Translation
B. Rotation
C. Symmetry
D. Similarity",
82,Express the area of the shaded part in the figure using an algebraic expression S = .,
83,"In triangle \(\triangle APB\), given that \(AB=2\) and \(∠APB=90^{\circ}\), construct equilateral triangles \(\triangle ABD\), \(\triangle APE\), and \(\triangle BPC\) on the same side of \(AB\). What is the maximum area of quadrilateral \(PCDE\)?",
84,Calculate the volume of the solid shape. (Unit: decimeters),
85,The figure shows the three views of a geometric body. What is the maximum distance between any two vertices of this geometric body?,
86,"Point O is a fixed point in the plane of triangle ABC. A moving point P satisfies certain conditions, then the trajectory of point P must pass through the ( ) of triangle ABC.
A. Centroid
B. Orthocenter
Circumcenter
D. Incenter",
87,"In Figure 1, a right trapezoid is cut into rectangle ABCD and triangle EFG. Given AB = 15 and AD = 12, move vertex G of triangle EFG to vertex B and rotate the triangle clockwise around B until point E falls on side CD and EF passes through point A. What is the length of FB?",
88,"In the figure, quadrilateral ABCD is an axisymmetric figure with respect to line l. Which of the following conclusions is incorrect? ( )
AD=BC
AD⊥BC
The intersection point of AC and BD is on L
The intersection point of lines AD and BC is on L",
89,"In the figure, AB is the diameter of a semicircle, point D is the midpoint of \( \bar{\bf\Delta}C \), and \( \angle ABC = 50^{\circ} \). What is the value of \( \angle DAB \)?
A. 55°
B. 60°
C. 65°
D. 70°",
90,"Which of the following statements are correct (__):
(1) As shown in Figure (a), a ruler and a set square can be used to measure the diameter of a circular workpiece;
(2) As shown in Figure (b), a try square can be used to check if a workpiece is semicircular;
(3) As shown in Figure (c), using a T-square twice (the line CD being the perpendicular bisector of segment AB) can locate the center of a circular workpiece;
(4) As shown in Figure (d), the angle between the zero mark line of a clinometer and the plumb line equals the angle of elevation when looking from point P to point A.
Options:
(A) 1 correct statement
(B) 2 correct statements
(C) 3 correct statements
(D) 4 correct statements",
91,The three views of a geometric body are shown in the figure. The ratio of the volume of this geometric body to the volume of its circumscribed sphere is ______,
92,"In the figure, the diagonals of rhombus ABCD intersect at point O, and OE is perpendicular to AB. If AC = 8 and BD = 6, what is the length of OE?",
93,"In the figure, triangles ABC and GAF are two congruent isosceles right triangles. The number of similar triangles (excluding congruent ones) in the figure is ( )
A. 1 pair
B. 2 pairs
C. 3 pairs
D. 4 pairs",
94,Xiao Li sees the reading of the digital clock in the mirror as shown in the image. What is the actual reading of the digital clock?,
95,Find the value of x in the figure.,
97,"In the figure, the three views of a certain geometric body show that both the front view and the side view are semicircles with a radius of $\sqrt{3}$ and the same equilateral triangle, where the top vertex of the triangle is the midpoint of the semicircle, and the base lies on the diameter. What is its surface area?
A. 6π
B. 8π
C. 10π
D. 11π",
98,"As shown in the figure, two identical right triangle boards with a 30° angle are stacked together, and ∠DAB=30°. The following four conclusions are given: ① AF ⊥ BC; ② △ADG ≌ △ACF; ③ O is the midpoint of BC; ④ AG: DE = \(\sqrt{3}: 4\). The correct sequence of conclusions is . (Incorrect answers score 0 points, partial credit is given for missing answers).",
99,"A square $ABCD$ with a side length of 1 is folded along the diagonal $BD$ to form a triangular prism $C$-$ABD$. The front view and top view are shown in the figure. What is the area of the left view?
A. $\frac{1}{4}$
B. $\frac{1}{2}$
C. $\frac{1}{6}$
D. $\frac{1}{8}$",
100,"In the figure, there is a cube with a side length of 5 centimeters. If a rectangular prism with dimensions 5 cm, 3 cm, and 2 cm is cut off from its upper left corner, how much does its surface area decrease in square centimeters?",
101,"In the right triangle ABC (∠C=90°), three squares with side lengths 3, 4, and x are placed. What is the value of x?",
102,"As shown in the figure, the area of the large regular hexagon is 24 square centimeters, in which three identical small regular hexagons are placed. The shaded area is ___ square centimeters.",
104,"The figure shows a rectangular aluminum alloy window frame, with a length of a (m) and a height of b (m), equipped with equally sized plastic steel glass. When the second piece is pulled to the right to overlap the third piece by \( \frac{1}{2} \), and then the first piece is pulled to the right to overlap the second piece by \( \frac{1}{3} \), express the ventilation area of the window at this time in terms of a and b ( ) m².",
105,"In the figure, ∠1 and ∠2 are a pair of ( )
Corresponding Angles
B. Alternate Interior Angles
Consecutive Interior Angles
D. Vertical Angles",
106,"As shown in the figure, ⊙O is the incircle of the equilateral triangle △ABC, with tangent points E, F, and G. P is any point on line segment EG, then the degree of ∠EPF equals ( )
A. 120°
B. 90°
C. 60°
D. 30°",
107,"As shown in the figure, a square ABCD with a side length of 2√3 is rotated counterclockwise by 30° around point A to obtain square A'B'C'D'. What is the area of the shaded region in square units?",
108,"As shown in the figure, AB is perpendicular to EF, CD is perpendicular to EF, ∠1 = ∠F = 45°, then the number of angles equal to ∠FCD is (___ )
Options:
(A) 1
(B) 2
(C) 3
(D) 4",
110,"As shown in the figure, which of the following patterns is an axis-symmetric figure? ( )
A. (1) (2)
B. (1) (3) (4)
C. (2) (3)
D. (1) (4)",
112,"Figure 1 shows two identical rectangles. If the area of the shaded region is 10, then the shaded area in Figure 2 equals ( )
A. 40
B. 30
C. 20
D. 10",
113,"In the figure, given that AB and AC are the diameter and chord of circle O respectively, D is the midpoint of arc BC, DE is perpendicular to AC and intersects the extension of AC at E. Connect BC. If DE = 6 cm and CE = 2 cm, which of the following conclusions is correct? ( ) 
① DE is a tangent to circle O; ② The diameter AB is 20 cm; ③ The chord AC is 15 cm; ④ C is the midpoint of arc AD.
A. ①②④
B. ①③④
C. ①②
D. ②③",
114,"In the figure, there is a rectangular piece of paper ABCD, where AB = 10 and AD = 6. The paper is folded so that side AD lies on side AB, creating a crease AE. Then triangle AED is folded to the right along DE, and AE intersects BC at point F. What is the area of triangle CEF?",
115,"In the figure, in triangle ABC, ∠C=90°, BC= $2 \sqrt { 3 }$ . If sector ACE is symmetric to sector BDE about point E, then the area of the shaded part in the figure is ( ) 
A. 2
B. $2 \sqrt { 3 }$
C. 4
D. $4 \sqrt { 3 }$",
116,Calculate the area of the annular shape as shown in the figure (unit: cm),
118,"In the figure, among the five shapes, four are different arrangements of the same shape, and the other one is different from the rest.",
121,"As shown in the figure (2006 Autumn, Zhongshan District Final Exam), a rectangular piece of paper ABCD is folded along AC, making point B fall on point F. If ∠BAF = 140°, then ∠1 = ___ degrees.",
122,"As shown in the figure, the area of the shaded part is __.",
123,"As shown in the figure, given that ∠1 = 60°, ∠2 = 120°, ∠3 = 70°, find ∠4 in degrees.",
124,"If the perimeter of the part shown in the figure is required, at least the lengths of how many line segments need to be measured?",
125,"In the figure (2010, Gongshu District Mock Exam), circle P is contained within circle O. The chord AB of circle O is tangent to circle P at point C, and AB is parallel to OP. If the area of the shaded region is 10π, what is the length of chord AB?",
126,"The image is an icon representing ""Unity and Dedication"", and the positional relationship between the two circles in the icon is ( )
A. Outer separation
B. Outer tangent
C. Intersecting
D. Inner tangent",
128,"A rhombus-shaped lawn ABCD with side length 4 meters and ∠A = 120° is divided into four pieces as shown, where quadrilaterals AEPM and NPFC are both rhombuses. If the length of AE is x meters, find the functional relationship between the sum of the areas of quadrilaterals BEPN and DMPF, denoted S, and x.",
129,"In the figure, the edges of the regular triangular prism ABC-A₁B₁C₁ are all 2 units long (including the base edges). Points E and F are the midpoints of edges AB and A₁C₁ respectively. What is the cosine value of the angle formed by line EF and the lateral edge C₁C? ( )
A. \( \frac { \sqrt { 5 } } { 5 } \)
B. \( \frac { 2 \sqrt { 5 } } { 5 } \)
C. \( \scriptstyle { \frac { I } { 2 } } \)
D. 2",
130,"In the figure, \(AB \parallel EF \parallel DC\), \(EG \parallel DB\). How many angles in the figure are equal to \(∠1\) (excluding \(∠1\))?
A. \(6\)
B. \(5\)
C. \(4\)
D. \(3\)",
